Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Altallama,New Quantity Altallama,Stock Alert Enabled Altallama,Stock Alert Count Altallama,Tax - Impuesto escolar (4%),Tax - impuesto ventas (21%)
4DROHMNL2RJ3BDQORTICJBQA,3M SPRAYMOUNT - Pegamento spray 3M spraymount 200ml,,,,M374820,"El pegamento en spray 3M SprayMount de 200 ml es ideal para aplicaciones temporales y reposicionables en proyectos de diseño, manualidades y presentaciones. Su fórmula permite un tiempo de ajuste adecuado, ofreciendo adherencia limpia y sin residuos. Es compatible con papel, cartón, fotografías y otros materiales ligeros. Perfecto para obtener resultados profesionales en cada proyecto.","Material de Oficina y Estudio, Material de Oficina y Estudio > Cintas adhesivas y embalaje",Material de Oficina y Estudio,,,,5900422002666,,Physical good,,,,N,N,N,Y,14.50,,N,,N,,N,,,1,,,,N,Y
RX5FWFSHHKEKXF6K6AGCPZJE,A2 - PROTOPAPER,,,,A828471,"Papel de dibujo de calidad para bocetos, técnica y uso artístico general.","Papel y Soportes, Papel y Soportes > Papel de dibujo y boceto",Papel y Soportes,,,,,,Physical good,,,,,,,Y,3.05,,N,,N,,N,,,21,,,,N,Y
G765GYXH2GPWIFI5LNF57EX6,A3 DALBE TECNICO,,Normal,,6208080,,"Papel y Soportes, Papel y Soportes > Papel de dibujo y boceto",Papel y Soportes,,,,,visible,Physical good,,,,N,N,N,Y,0.25,,N,,N,,N,,,340,,,,N,Y
B2XISDRQGDVBYVX4ASULNZ2M,A3_FABRIANO TAPA DURA_SKETCH_110gr,,Normal,,128297G,"El bloc de dibujo A3 Fabriano Tapa Dura Sketch de 110 g/m² es ideal para artistas y estudiantes que buscan calidad y durabilidad. Sus hojas con gramaje de 110 g/m² ofrecen una superficie resistente, perfecta para lápiz, carboncillo y técnicas secas. La tapa dura brinda soporte adicional y protege tus bocetos, asegurando que se mantengan en excelente estado. Un formato práctico y profesional para todas tus creaciones artísticas.","Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,8001348174301,,Physical good,,,,N,N,N,Y,17.55,,N,,N,,N,,,1,,,,Y,N
3J36BV4VIOXRZN4OIGTOTYFR,A3_WINGO_120G_HOJA SUELTA,,Normal,,5191628,,"Papel y Soportes, Papel y Soportes > Papel de dibujo y boceto",Papel y Soportes,,,,,,Physical good,,,,N,N,N,Y,0.20,,N,,N,,N,,,16,,,,N,Y
XRM6LHLLUDYWJ76DVWCBAPCV,A4_ACUARELA GVARRO GRANO FINO,,Normal,,8908163,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,1.00,,N,,N,,N,,,,,,,N,Y
I642YWPJVRIJL44MUAPG74XC,A4_Acetato,,Normal,,1314336,,"Papel y Soportes, Papel y Soportes > Cartulinas y cartón",Papel y Soportes,,,,,visible,Physical good,,,,N,N,N,Y,0.30,,N,,N,,N,,,0,,,,N,Y
AOBN6DNIBN3WWJQEM7XAC226,A4_Cartulina Canson,,Normal,,Z310029,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,N,N,N,Y,0.30,,N,,N,,N,,,28,,,,N,Y
NKVKXU3Z56KGGNI5HVFSAV6R,A4_DALBE 160G,,Normal,,1291429,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,,,,Y,0.20,,N,,N,,N,,,,,,,N,Y
5ZPMG6OGPIEJURUOU4A3THZJ,A4_DIN Fucsia,,Normal,,820551M,,"Papel y Soportes, Papel y Soportes > Cartulinas y cartón",Papel y Soportes,,,,,,Physical good,,,,,,,Y,0.15,,N,,N,,N,,,267,,,,N,Y
6NUDR3V7QPL7ZM7JQ5KKDGEO,A4_Duolite 0.3 Grosor,,Normal,,B867202,,Herramientas y Accesorios > Maderas,Herramientas y Accesorios > Maderas,,,,,visible,Physical good,,,,,,,Y,1.20,,N,,N,,N,,,4,,,,N,Y
PE6GG7LQRFLHS3RTJEGT5X44,A4_Duolite 0.5 Grosor,,Normal,,R666445,,Herramientas y Accesorios > Maderas,Herramientas y Accesorios > Maderas,,,,,visible,Physical good,,,,,,,Y,1.80,,N,,N,,N,,,0,,,,N,Y
5RCAFVX3CNKVNMZCY6WAPMBM,A4_F.ACADEMIA 300G,,Normal,,1553873,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,,,,Y,0.30,,N,,N,,N,,,,,,,N,Y
NI45647NDBTKKU65MWQDEKG4,A4_FABRIANO ARTÍSTICO 100%ALGODÓN_Bloc completo,,Normal,,426121V,,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,,,Physical good,,,,,,,Y,21.50,,N,,N,,N,,,0,,,,N,Y
SCAY4XISZE7J3SEK6AXUZUTV,A4_Fabriano Artístico_100%algodón,,Normal,,280557X,,"Papel y Soportes, Papel y Soportes > Papel para acuarela",Papel y Soportes,,,,,,Physical good,,,,,,,Y,1.60,,N,,N,,N,,,19,,,,Y,N
JWMFJI3IRJVVWYJR2OFWWBR3,A4_Folder,,Normal,,919273V,,"Material de Oficina y Estudio, Material de Oficina y Estudio > Carpetas y fundas",Material de Oficina y Estudio,,,,,visible,Physical good,,,,,,,Y,0.15,,N,,N,,N,,,60,,,,N,Y
DCJATKRQF4KW7XS4QA5D4P2B,A4_Hoja Aluminio repujado,,Normal,,467514D,,"Papel y Soportes, Papel y Soportes > Papel japonés y especial",Papel y Soportes,,,,,,Physical good,,,,,,,Y,3.50,,N,,N,,N,,,2,,,,N,Y
DDQ46VWH6YHCEO5MNNLIBNAU,A4_Mi TEINTES,,Estándar,,7201206,,"Papel y Soportes, Papel y Soportes > Papel japonés y especial",Papel y Soportes,,,,,visible,Physical good,,,,,,,Y,0.50,,N,,N,,N,,,10,,,,N,Y
JQB56QH5UG5YG4QYRGLZJMF2,A4_PAPEL PARA TINTA CHINA Y AGUADA,,Normal,,133244B,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,,,,Y,0.60,,N,,N,,N,,,,,,,N,Y
YMGXZ6KFXCFIFAJPX4E337AA,A4_Papel Vegetal,,Normal,,M398911,,"Papel y Soportes, Papel y Soportes > Papel japonés y especial",Papel y Soportes,,,,,visible,Physical good,,,,,,,Y,0.15,,N,,N,,N,,,40,,,,N,Y
AJCNK3DWRF4U2IRWXGYST5CY,A4_WINGO_120G_HOJA SUELTA,,Normal,,C022362,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,0.20,,N,,N,,N,,,54,,,,N,Y
HUQR73LA3533NU5J5SJ7CNJ3,A5 Carpeta Escolar_azul Clásico,,Normal,,N232328,"La carpeta escolar A5 en color azul clásico es ideal para organizar documentos y apuntes de manera práctica y eficiente. Fabricada con materiales duraderos, garantiza resistencia al uso diario. Su diseño compacto facilita su transporte, mientras que su tamaño A5 es perfecto para llevar en mochilas o bolsos. Una solución funcional para estudiantes y profesionales.","Material de Oficina y Estudio, Material de Oficina y Estudio > Carpetas y fundas",Material de Oficina y Estudio,,,,8423473157965,,Physical good,,,,N,N,N,Y,0.50,,N,,N,,N,,,5,,,,N,Y
FBXYHZWW7Y5ZLFFOM4L6WDL7,A5 Carpeta plástico,,Normal,,826805J,,"Material de Oficina y Estudio, Material de Oficina y Estudio > Carpetas y fundas",Material de Oficina y Estudio,,,,,,Physical good,,,,N,N,N,Y,0.80,,N,,N,,N,,,15,,,,N,Y
JDNYTRIAUBKMXIGJ7KRL266R,ABISAL - RESERVA cabina tatuaje (50€ + IVA),,Normal,,6903518,RESERVA cabina tatuaje (50€ + IVA),,,,,,,visible,Other,,,,N,N,N,N,60.05,,N,,N,,N,,,,,,,N,Y
